INDV,N_SITES.x,MEAN_DEPTH,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,O.HOM.,E.HOM.,N_SITES.y,Fis,POP,Sample,Lib,Index,Row,Depth,Lat,Lon,Station ID,Updated,DepthBeg,DepthEnd (feet),OXY_MG,OXSAT,SALINITY,TEMP,FLUORO,SEX,TL,PCL,PD1,PD2,PP2,SP1A,PP1A,PP1,PG1,PSP,PEY,POB,HDL,HDW,OHW,SHW,MOW,MOL,LLA,NOW,ANF,UAW,UAH,HDH,INO,EYL,EYH,ESD,INW,INS,SPL,ING1,ING,IDS,DCS,PPS,POCS,PCA,WP1,TRW,TAW,TAH,P1L,P1A,P1P,PFS,P1B,P1W,P1I,P2A,P2P,P2B,P2L,P2W,P2I,P2S,PDD,D1B,D1A,D1H,D1I,D2B,D2A,D2H,D2I,CDM,CPH,CPW,CVM,CAH,CPL,CPU,CST,CLI,CLO,CLB,SCL,CCL,VL,UTR,UTL,LTR,LTL
Atl.AS.103_Lib1_I12_B11,24983,62.1218,25006,0,328,0.0131169,21134,20936.6,24392,0.05713,Atl,Atl.AS.103,Lib1,I12,B11,17.6784,36.902,-75.694,NM20160901103,NM160901103,58,53,7.19,112.7,35.51,17.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atl.AS.103.2_Lib2_I12_A10,24994,47.0949,25006,0,421,0.016836,21044,20861.2,24286,0.05336,Atl,Atl.AS.103.2,Lib2,I12,A10,17.6784,36.902,-75.694,NM170901-103,NM20170901103,54.7,,8.74,109.6,30.47,17.42,,F,897,760,561,663,372,267,132,166,131.7,71.3,46.4,31.6,150.9,212,135,182,103.1,13.9,40.7,11.6,8.4,30.1,7.2,65,71.1,11,7.5,22.9,47.8,64.1,18.5,84.6,23.5,67.8,73.5,105.5,437,303,159,168,114,47,288,256,101.9,474,100.1,131.2,145.9,114.4,161,137.7,226,84.6,85,279,3,37.5,74.5,61.7,23.5,30.6,69.1,54.5,26,105.5,20.2,36.8,135.8,116.8,,42.1,43.1,,,,407,464,23,9,9,9,9
Atl.AS.108.1_Lib2_I12_A11,24995,69.7189,25006,0,458,0.0183156,21007,20820,24244,0.0546,Atl,Atl.AS.108.1,Lib2,I12,A11,12.98448,36.981,-75.783,NM170901-108,NM20170901108,42.6,,5.7,92.9,31.08,20.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atl.AS.109.2_Lib2_I12_C06,25004,68.6465,25006,0,709,0.0283532,20891,20632.7,24008,0.07652,Atl,Atl.AS.109.2,Lib2,I12,C06,11.67384,36.837,-75.885,NM170901-109,NM20170901109,38.3,,5.91,93.9,30.36,19.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atl.AS.112.1_Lib2_I12_C10,24970,71.7856,25006,0,433,0.0173158,20925,20848.8,24283,0.02219,Atl,Atl.AS.112.1,Lib2,I12,C10,12.46632,36.074,-75.683,NM170901-112,NM20170901112,40.9,,6.11,97.15,29.97,19.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atl.AS.112.2_Lib2_I12_A09,25003,52.9334,25006,0,546,0.0218348,21095,20767.1,24173,0.09627,Atl,Atl.AS.112.2,Lib2,I12,A09,12.46632,36.074,-75.683,NM170901-112,NM20170901112,40.9,,6.11,97.15,29.97,19.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atl.AS.115.1_Lib2_I12_C05,24956,36.4213,25006,0,698,0.0279133,20990,20624.7,24021,0.10755,Atl,Atl.AS.115.1,Lib2,I12,C05,13.1064,35.928,-75.547,NM170901-115,NM20170901115,34.6,,6.04,96.3,30.29,19.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atl.AS.118.2_Lib2_I12_B09,24993,84.7821,25006,0,495,0.0197952,21053,20794.3,24211,0.07573,Atl,Atl.AS.118.2,Lib2,I12,B09,14.3256,36.43,-75.784,NM170901-118,NM20170901118,47,,5.88,93.9,30.37,19.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atl.AS.120_Lib1_I12_B08,24988,41.0817,25006,0,465,0.0185955,21063,20830.5,24263,0.06772,Atl,Atl.AS.120,Lib1,I12,B08,10.0584,35.323,-75.482,NM20160901120,NM160901120,33,30,6.82,110.6,36.36,18.7,,M,760,650,477,555,300,216,108.8,150,108,63.8,39.9,24.8,126,175,104.2,143,83.2,18.5,31.6,9.8,13.6,25.6,7.5,48,61.2,11.6,7.6,19.3,43.3,55.7,16.7,68.3,16.9,55.4,61.6,106.5,355,261,115.6,130.2,81.2,38.2,234,204,94.5,364,91.1,128.6,114,97.2,125.3,111.4,173,93.2,81.8,217,18.7,29.1,61.3,42.8,18.2,28.6,58.2,40.8,19.7,87.7,17.6,26.3,105.7,104.8,42,61.9,11.1,100.7,12.9,6.9,344,384,22.3,9,9,10,10
Atl.AS.121_Lib1_I12_C12,24992,65.88,25006,0,273,0.0109174,21093,20982.4,24435,0.03203,Atl,Atl.AS.121,Lib1,I12,C12,15.8496,35.601,-75.393,NM20160901121,NM160901121,52,48,7.18,111.1,34.03,17.07,,M,990,930,700,814,422,318,165,205,165,98,64.2,41.9,189,248,147,216,124.7,28.2,48,20.6,15.3,32.6,11.6,63,86.1,16.2,9.3,30.3,65,79.6,27.9,102,23,74.7,78.8,117.4,518,386,179,192,126,49,323,291,137,536,117,187,159,109,189,144,261,116,134,346,20.4,43.2,96,74.9,25.3,39.4,89.5,71,25.9,123.8,21.9,38.6,161,142.2,54.1,66.4,27,208,63.6,27.4,486,606,31.8,10,10,10,10
Atl.AS.121.2_Lib1_I12_C09,24982,27.9113,25006,0,699,0.0279533,20861,20635.1,24027,0.06659,Atl,Atl.AS.121.2,Lib1,I12,C09,15.8496,35.601,-75.393,NM20160901121,NM160901121,52,48,7.18,111.1,34.03,17.07,,F,945,805,605,704,365,287,143,184,137.1,80.4,51.4,32.7,147.3,224,120,175,102.1,24.5,41.5,14.7,12.9,33.5,7.2,58,68.2,12.3,8.2,23.2,51.6,67.7,20.1,89.1,17.6,62.7,71.4,89.8,449,323,168,179,117,45,294,267,112.6,492,114,167,156,115,154,134,222,94,100,303,27,38.2,83,57.4,19.9,33.8,81.9,56.5,22.6,120.7,20.9,34.9,146,123.7,42.3,45.8,40.5,,,,427,529,29.2,9,9,10,10
Atl.AS.124_Lib1_I12_D05,25001,61.2422,25006,0,353,0.0141166,20899,20914.1,24355,-0.00439,Atl,Atl.AS.124,Lib1,I12,D05,18.5928,35.801,-75.481,NM20160901124,NM160901124,61,61,7.27,112.3,34.06,16.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atl.AS.124._Lib2_I12_A03,24998,173.635,25006,0,329,0.0131568,20975,20930.1,24376,0.01303,Atl,Atl.AS.124.,Lib2,I12,A03,18.5928,35.801,-75.481,NM20160901124,NM160901124,61,61,7.27,112.3,34.06,16.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atl.AS.124.2_Lib1_I12_D07,25000,39.9983,25006,0,450,0.0179957,21058,20842.1,24271,0.06297,Atl,Atl.AS.124.2,Lib1,I12,D07,18.5928,35.801,-75.481,NM20160901124,NM160901124,61,61,7.27,112.3,34.06,16.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atl.AS.79_Lib1_I12_D10,24987,36.8677,25006,0,430,0.0171959,21001,20858.3,24294,0.04153,Atl,Atl.AS.79,Lib1,I12,D10,18.288,37.954,-75.09,NM20160901079,NM160901079,60,59,7.45,117,35.09,17.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atl.AS.89_Lib1_I12_C03,24995,101.446,25006,0,286,0.0114373,21045,20979.8,24433,0.01888,Atl,Atl.AS.89,Lib1,I12,C03,6.4008,37.331,-75.673,NM20160901089,NM160901089,21,22,7.05,111.5,34.78,17.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atl.AS.96.1_Lib1_I12_C10,24990,83.9241,25006,0,388,0.0155163,20963,20883.3,24321,0.02318,Atl,Atl.AS.96.1,Lib1,I12,C10,10.3632,37.153,-75.727,NM20160901096,NM160901096,34,28,7.67,122.5,34.22,18.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atl.AS.96.2_Lib1_I12_D09,24822,15.8119,25006,0,2872,0.114852,18940,18806.2,21904,0.0432,Atl,Atl.AS.96.2,Lib1,I12,D09,10.3632,37.153,-75.727,NM20160901096,NM160901096,34,28,7.67,122.5,34.22,18.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST.AS.11.1_Lib1_I12_B10,24988,48.8977,25006,0,396,0.0158362,21051,20889.2,24328,0.04705,EAST,EAST.AS.11.1,Lib1,I12,B10,261.3355088,28.8265,-85.92042,63-1607-011,631607011,261.3355088,,3.76796,46.03885,35.8674,14.4259,0.4547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST.AS.11.2_Lib1_I12_C11,24995,47.4203,25006,0,360,0.0143965,21054,20925.6,24371,0.03727,EAST,EAST.AS.11.2,Lib1,I12,C11,261.3355088,28.8265,-85.92042,63-1607-011,631607011,261.3355088,,3.76796,46.03885,35.8674,14.4259,0.4547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST.AS.17.1_Lib2_I12_A12,24962,22.6113,25006,0,1126,0.0450292,20397,20269.1,23594,0.03846,EAST,EAST.AS.17.1,Lib2,I12,A12,303.7453853,29.56282,-86.94453,63-1607-017,631607017,303.7453853,,3.5181,41.054,34.1441,12.7042,3.0452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST.AS.17.2_Lib1_I12_D02,24971,21.1446,25006,0,1336,0.0534272,20350,20079.9,23382,0.08181,EAST,EAST.AS.17.2,Lib1,I12,D02,303.7453853,29.56282,-86.94453,63-1607-017,631607017,303.7453853,,3.5181,41.054,34.1441,12.7042,3.0452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST.AS.17.3_Lib2_I12_B11,24999,44.6667,25006,0,571,0.0228345,20890,20731.1,24147,0.04652,EAST,EAST.AS.17.3,Lib2,I12,B11,303.7453853,29.56282,-86.94453,63-1607-017,631607017,303.7453853,,3.5181,41.054,34.1441,12.7042,3.0452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST.AS.17.4_Lib2_I12_A05,25002,45.765,25006,0,519,0.020755,20840,20784.3,24193,0.01633,EAST,EAST.AS.17.4,Lib2,I12,A05,303.7453853,29.56282,-86.94453,63-1607-017,631607017,303.7453853,,3.5181,41.054,34.1441,12.7042,3.0452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST.AS.18.1_Lib1_I12_C04,24975,56.3817,25006,0,445,0.0177957,20918,20844.5,24276,0.02142,EAST,EAST.AS.18.1,Lib1,I12,C04,239.1156,29.66996,-87.22148,63-1607-018,631607018,239.1156,,3.86792,49.40721,36.2241,16.5754,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST.AS.18.2_Lib1_I12_C06,24856,13.9,25006,0,3151,0.12601,18707,18535.5,21595,0.05607,EAST,EAST.AS.18.2,Lib1,I12,C06,239.1156,29.66996,-87.22148,63-1607-018,631607018,239.1156,,3.86792,49.40721,36.2241,16.5754,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST.AS.3017.1_Lib2_I12_B07,24995,36.6954,25006,0,612,0.0244741,20912,20703.8,24102,0.06127,EAST,EAST.AS.3017.1,Lib2,I12,B07,101,27.1625,-96.546,04323017-1,4323017,55.4,58.3,,,,,,M,316,266,205,237,129,97,47,60.3,47.8,26.2,16.1,9.6,56,73.9,50.3,66.7,40.4,10.1,15.9,4.3,4.9,10.8,3.5,20.6,23.2,5.2,3.2,7.6,19.5,24.2,8.1,29.8,7,22.2,26.6,37.6,142.7,113.3,46,57.7,34.4,16.4,103.4,85.4,34.4,166,34.6,59.1,52.7,36.8,51.9,42.8,71.3,34.6,30.8,100.4,9.1,12.5,25.4,19,9.6,11.2,24.3,16.1,9.4,35.5,7.5,12.5,48.9,43.4,14.9,12.3,11.5,30.8,2.4,2.6,143.5,178,7.4,9,9,9,9
EAST.AS.59.1_Lib1_I12_B07,24967,22.9408,25006,0,1600,0.0639846,19887,19877.8,23139,0.00282,EAST,EAST.AS.59.1,Lib1,I12,B07,297.0885544,29.07292,-88.57733,63-1607-059,631607059,297.0885544,,3.159,36.557,32.8091,12.7493,3.8607,M,992,850,629,732,405,303,159,193,142,85.1,52.5,35,169,219,119.5,189,113,30.7,43.7,16,18,36,10.9,61,84.8,15.6,9.5,28.1,62.2,75.4,21.9,90.3,19.9,67.5,76.6,126,464,336,173,171,120,47,305,274,132.3,501,116,187,160,116.4,176,141,235,115,114.8,313,11.4,32.2,93.6,59.1,31,38.4,85.5,53.9,28.3,118.8,21.6,32.4,166,134.3,49.9,75.1,25.2,184,54.5,19.5,435,522,30.3,10,10,10,10
EAST.AS.59.2_Lib1_I12_C01,25000,58.3614,25006,0,369,0.0147565,21038,20920,24361,0.03428,EAST,EAST.AS.59.2,Lib1,I12,C01,297.0885544,29.07292,-88.57733,63-1607-059,631607059,297.0885544,,3.159,36.557,32.8091,12.7493,3.8607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST.AS.59.3_Lib1_I12_B03,24994,52.3564,25006,0,867,0.0346717,20556,20507.3,23874,0.01447,EAST,EAST.AS.59.3,Lib1,I12,B03,297.0885544,29.07292,-88.57733,63-1607-059,631607059,297.0885544,,3.159,36.557,32.8091,12.7493,3.8607,M,1052,905,674,786,420,319,165,209,153,89.4,52.6,39.4,175,226,129,199,117.5,29.9,47.3,16.8,,37.3,9.3,56,78.4,17.7,12.1,27.6,63.6,73.7,20.8,95.1,16.2,75.7,76,107.8,477,385,163,181,118,50,317,280,122.4,561,119.2,196,166,124,192,97,228,104.7,123.5,303,23.7,42.2,102.4,78.8,31.6,39.3,92.2,63.3,32.1,127.5,22.3,34.4,154,137.1,55.7,71,46.9,182,61.5,17.1,463,525,38.4,9,9,10,10
EAST.AS.6014.1_Lib2_I12_C02,24987,48.6968,25006,0,415,0.016596,21056,20880.7,24301,0.05125,EAST,EAST.AS.6014.1,Lib2,I12,C02,88,29.738,-86.3043,04326014-1,4326014,47.2,46,,,,,,F,937,800,602,697,394,288,136,183,131.3,77.5,51.6,32.2,152,190,120,173,106.3,24.3,42.4,13.2,11,29,8,53,65.8,13.1,10.1,23.7,51,66.5,17.4,83.8,12.5,60,72.7,123,432,309,174,172,109,43,302,264,133,468,118,164,149,123,164,142,234,99,98,303,8,37.4,85.7,67.9,27.4,34.1,78.5,57.4,27.7,120.7,19.7,33.6,145.3,145.8,43.7,68.2,37.4,,,,424,466,29.2,9,9,10,10
EAST.AS.6018.1_Lib2_I12_A04,24995,93.7427,25006,0,390,0.0155963,21018,20883.2,24316,0.03925,EAST,EAST.AS.6018.1,Lib2,I12,A04,126,29.9593,-86.7827,04326018-1,4326018,67.8,65.7,,,,,,M,940,805,622,713,361,292,160,193,137.4,89.5,56.3,41.4,158,205,139,194,113.2,22,44.6,15.9,15.4,38.5,10.2,48,67.9,16.4,11.7,25,61.9,72.5,19.5,89,23,55.6,68.9,81.9,458,333,161,166,112,44,297,268,101.8,530,111,184,153,100.2,201,132.5,236,94.1,118.1,312,26,38.2,79.2,60.2,23.6,33.8,75.2,56.9,26.5,110,18.5,33.4,147.3,140.3,44.8,66.9,35.3,179,57.3,13.2,421,482,26.5,10,10,10,10
EAST.AS.6018.2_Lib2_I12_B10,25002,36.9378,25006,0,404,0.0161561,20979,20869.9,24303,0.03178,EAST,EAST.AS.6018.2,Lib2,I12,B10,126,29.9593,-86.7827,04326018-2,4326018,67.8,65.7,,,,,,M,360,304,228,264,141,111,57.8,76.4,56,33.5,20.4,11.5,60,82.4,56.9,75.2,45.7,6.9,16.7,7.1,4.9,13.3,4,18.9,23.6,7.4,4.5,8.7,22,27,7.2,36.8,7.1,24.7,31.4,34.8,164,121,59.2,61.2,36.4,17,113,95,42.5,188,38.2,65.4,62,39.2,58.6,49.2,80,31.8,35,113.9,9,12.8,28.6,22.4,10.3,11,29,19.5,10.6,42.5,7.9,12.7,55,47.5,18.2,20.2,13.8,35.5,3.5,2.2,162,193,9.5,9,9,10,10
EAST.AS.6018.3_Lib2_I12_C01,24988,63.4649,25006,0,424,0.0169559,20956,20853.6,24284,0.02984,EAST,EAST.AS.6018.3,Lib2,I12,C01,126,29.9593,-86.7827,04326018-3,4326018,67.8,65.7,,,,,,F,900,779,594,691,346,274,142,170,127.7,76.9,50,29.2,156,192,132,172,103.3,21.1,39.9,16.3,8.7,30.6,8,45,61.9,13.2,8.3,24.5,53.1,62.6,15.5,79.7,14.3,65.5,60.1,72.3,462,318,157,159,105,42,288,238,121,462,107,164,158,132,166,148,232,97,96,299,22.4,35.7,75.5,59.2,23,33.5,71.5,53.9,24.1,106,18.1,30.2,142.9,135.4,44.7,66.2,34.6,,,,411,463,26.7,9,9,10,10
