INDV,N_SITES.x,MEAN_DEPTH,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,O.HOM.,E.HOM.,N_SITES.y,Fis,POP,Sample,Lib,Index,Row,Depth,Lat,Lon,Station ID,Updated,DepthBeg,DepthEnd (feet),OXY_MG,OXSAT,SALINITY,TEMP,FLUORO,SEX,TL,PCL,PD1,PD2,PP2,SP1A,PP1A,PP1,PG1,PSP,PEY,POB,HDL,HDW,OHW,SHW,MOW,MOL,LLA,NOW,ANF,UAW,UAH,HDH,INO,EYL,EYH,ESD,INW,INS,SPL,ING1,ING,IDS,DCS,PPS,POCS,PCA,WP1,TRW,TAW,TAH,P1L,P1A,P1P,PFS,P1B,P1W,P1I,P2A,P2P,P2B,P2L,P2W,P2I,P2S,PDD,D1B,D1A,D1H,D1I,D2B,D2A,D2H,D2I,CDM,CPH,CPW,CVM,CAH,CPL,CPU,CST,CLI,CLO,CLB,SCL,CCL,VL,UTR,UTL,LTR,LTL
EAST.AS.64.1_Lib2_I12_B04,24990,81.2917,25006,0,341,0.0136367,21081,20924.8,24365,0.04541,EAST,EAST.AS.64.1,Lib2,I12,B04,162.7814919,29.90753,-87.03699,63-1607-064,631607064,162.7814919,,3.8827,50.223,36.318,17.2042,0.0806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST.AS.64.2_Lib2_I12_C11,25001,59.3469,25006,0,442,0.0176758,20855,20845,24262,0.00294,EAST,EAST.AS.64.2,Lib2,I12,C11,162.7814919,29.90753,-87.03699,63-1607-064,631607064,162.7814919,,3.8827,50.223,36.318,17.2042,0.0806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST.AS.65.1_Lib2_I12_A06,24982,87.9739,25006,0,437,0.0174758,21011,20845.2,24269,0.04844,EAST,EAST.AS.65.1,Lib2,I12,A06,272.6375073,29.61543,-87.05652,63-1607-065,631607065,272.6375073,,3.6371,42.757,35.5944,12.6155,0.0969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST.AS.65.2_Lib2_I12_A08,25002,44.763,25006,0,1699,0.0679437,19765,19822.8,23021,-0.01808,EAST,EAST.AS.65.2,Lib2,I12,A08,272.6375073,29.61543,-87.05652,63-1607-065,631607065,272.6375073,,3.6371,42.757,35.5944,12.6155,0.0969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST.AS.65.3_Lib2_I12_A01,25002,52.013,25006,0,440,0.0175958,21076,20842.4,24267,0.0682,EAST,EAST.AS.65.3,Lib2,I12,A01,272.6375073,29.61543,-87.05652,63-1607-065,631607065,272.6375073,,3.6371,42.757,35.5944,12.6155,0.0969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST.AS.65.4_Lib2_I12_B03,25000,77.9139,25006,0,473,0.0189155,20931,20820.3,24241,0.03235,EAST,EAST.AS.65.4,Lib2,I12,B03,272.6375073,29.61543,-87.05652,63-1607-065,631607065,272.6375073,,3.6371,42.757,35.5944,12.6155,0.0969,M,770,654,489,569,297,237,119,150,116,64,37.7,27,135,171,105.6,146.1,86.6,23.5,36.2,10.9,14.2,27.9,7.9,,58.7,13.4,5.6,20.3,47,54.2,15.1,69.9,15.6,54.7,58.6,72.4,369,273,118.5,130,83.9,32,244,218,96,363,81.6,134.4,123.6,87,149.8,112.9,181,110.1,83.9,251,18.9,31.4,70.2,48.7,20.7,26.1,65,42.3,23.7,98,15.8,27.6,116.5,111.5,39.6,65.2,16.9,109,22,7,337,397,15.8,9,9,10,9
EAST.AS.65.5_Lib2_I12_B08,24993,45.682,25006,0,515,0.0205951,20936,20781.3,24191,0.04538,EAST,EAST.AS.65.5,Lib2,I12,B08,272.6375073,29.61543,-87.05652,63-1607-065,631607065,272.6375073,,3.6371,42.757,35.5944,12.6155,0.0969,M,952,820,610,712,351,284,151,183,139,81.1,50.8,38.6,165,192,117.8,175,103.8,41.2,43.1,16.2,16.9,31.8,11,56,73.4,17.4,10.7,25.4,60,64.4,22.1,82.3,22.5,62.7,73.2,72.1,459,340,146,149,99,43,295,266,119,440,103.7,176,160,105.3,164,115,226,101.8,107,295,23.8,40.6,79.5,65,25,33.1,75.5,55.7,26.4,112.5,19.4,28.8,126.5,121.1,43.9,60.2,42.2,178,68.3,15,418,486,29.9,10,10,10,10
EAST.AS.9.1_Lib1_I12_C02,24994,82.7615,25006,0,389,0.0155563,20965,20888.2,24322,0.02236,EAST,EAST.AS.9.1,Lib1,I12,C02,174.8149853,28.78351,-85.57041,63-1607-009,631607009,174.8149853,,3.8646,50.594,36.3942,17.8135,0.1135,M,287,245,183,212,112.2,84.5,48.3,57.7,41.1,25.5,16.4,10.5,51.4,63.5,42.2,61.3,37.2,10.3,15.1,4,5.4,9.7,4,16,25.5,6.4,3.1,6.6,18.9,23,6.1,28.5,4.4,18,21.7,35.1,131.5,95.6,44,47.2,24.7,13.5,91.5,78.7,41.1,139.2,28.8,50.1,47.4,30.4,47.1,37,63.5,33.4,26.3,88.7,5.4,11.5,24,14.9,8.2,10.4,22.1,13.3,10.3,32.4,6.6,9.3,45.7,38.1,15.3,20.4,7.8,32.5,2.5,1.5,127,148.9,8.3,10,10,10,10
EAST.AS.9.2_Lib1_I12_D04,24998,63.4309,25006,0,370,0.0147964,20785,20899.5,24341,-0.03328,EAST,EAST.AS.9.2,Lib1,I12,D04,174.8149853,28.78351,-85.57041,63-1607-009,631607009,174.8149853,,3.8646,50.594,36.3942,17.8135,0.1135,M,301,258,194,225,122.4,88.8,44.4,56.8,45,26.1,14.8,11.7,49.1,67.5,35.2,58.6,36.1,7.4,14.8,4.7,5,9.4,3.3,16.6,24.9,5.7,3.6,7.3,18.8,24,6.1,28.6,5.2,21.6,22.2,38.8,141.1,97.9,50,55.9,26.9,12.5,93.6,78.1,48.9,161,32.8,52.4,51.5,34,48.7,37.4,64.4,34.8,30.1,91.5,11,11.5,24.5,15.3,9.7,10.4,23.1,16,9.1,34.1,6.2,10.1,47.7,44.1,14.9,21.6,10.4,27.9,2.3,1.8,130.3,162,7.3,9,10,10,10
EAST.AS.9.2_Lib2_I12_A02,24999,151.039,25006,0,357,0.0142766,20899,20912.3,24353,-0.00386,EAST,EAST.AS.9.2,Lib2,I12,A02,174.8149853,28.78351,-85.57041,63-1607-009,631607009,174.8149853,,3.8646,50.594,36.3942,17.8135,0.1135,M,301,258,194,225,122.4,88.8,44.4,56.8,45,26.1,14.8,11.7,49.1,67.5,35.2,58.6,36.1,7.4,14.8,4.7,5,9.4,3.3,16.6,24.9,5.7,3.6,7.3,18.8,24,6.1,28.6,5.2,21.6,22.2,38.8,141.1,97.9,50,55.9,26.9,12.5,93.6,78.1,48.9,161,32.8,52.4,51.5,34,48.7,37.4,64.4,34.8,30.1,91.5,11,11.5,24.5,15.3,9.7,10.4,23.1,16,9.1,34.1,6.2,10.1,47.7,44.1,14.9,21.6,10.4,27.9,2.3,1.8,130.3,162,7.3,9,10,10,10
Pac.AS.T437_Lib2_I12_D01,23917,10.3126,25006,0,4514,0.180517,20072,17347.3,20242,0.94127,Pac,Pac.AS.T437,Lib2,I12,D01,26,32.9217,-117.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST.AS.113._Lib2_I12_B12,24968,24.4607,25006,0,1265,0.0505879,20311,20151.7,23465,0.04808,WEST,WEST.AS.113.,Lib2,I12,B12,81,28.119,-92.893,420-170-323-113,4323113,45.6,30.28,,,,,,F,324,268,205,238,131,99,44.4,61,45.7,26.9,17,12.2,55,71.7,49.2,67.1,39.3,8.9,,4.5,4.1,10.5,3.6,19.2,21,4.9,3,7.5,20.8,24.6,6.8,30.9,8.1,21.5,25.3,38.6,138.1,100.8,47.9,57.9,34.1,15.3,102.3,88.7,30.6,156,37.1,52,57.2,35.7,54,43,68.9,39.5,30.1,101.8,5.3,11.8,25.2,17.9,8.8,10.6,24.2,16.1,9.5,37.3,7.1,10.3,49.1,46.6,17.3,12.6,16.3,,,,143,176,9.4,9,9,9,9
WEST.AS.140._Lib2_I12_B02,24997,99.3267,25006,0,301,0.0120371,21214,20963.1,24408,0.07283,WEST,WEST.AS.140.,Lib2,I12,B02,104,28.13333333,-91.40533333,323-140,4323140,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST.AS.170._Lib2_I12_C07,24976,45.5994,25006,0,389,0.0155563,21108,20888.3,24322,0.06398,WEST,WEST.AS.170.,Lib2,I12,C07,86,26.2515,-96.3745,420-170-323,4323170,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST.AS.20.1_Lib1_I12_D08,24945,20.7618,25006,0,1498,0.0599056,20285,19942.4,23236,0.10401,WEST,WEST.AS.20.1,Lib1,I12,D08,216.6945081,28.02948,-90.80759,63-1607-020,631607020,216.6945081,,3.6823,47.715,36.066,17.3843,1.0087,F,770,658,499,579,326,234,123,146,115.7,67.3,40.3,27.5,132.5,175,110.6,150.4,91.6,18.1,36,11.1,11.8,28,,40,53,12.9,11.4,19.2,45.5,55.5,18.7,76.9,16.9,55.4,54.1,96.5,367,256,132,135,86,34,248,215,100,390,86,132,122,100,146,119,188,88,63.5,260,16.1,27.7,66.9,51.6,22.9,25.7,65.5,47.8,23.2,101.1,17.1,29.4,121.8,115.6,41.5,49.1,28.5,,,,345,422,21.4,9,9,9,9
WEST.AS.27.1_Lib1_I12_B09,24996,73.485,25006,0,306,0.0122371,21182,20965.5,24418,0.06272,WEST,WEST.AS.27.1,Lib1,I12,B09,162.2511382,27.83822,-93.24943,63-1607-027,631607027,162.2511382,,4.0436,54.524,35.8173,19.5883,1.2347,M,685,585,438,511,263,206,109,126,96.7,57.1,36,22.8,110.9,143.5,92.6,131.5,79.2,24,31.5,10.6,11.2,25.2,4.2,34,47.5,11.1,6.8,19.4,41.9,48.1,13.6,63.7,18,46.2,50.4,62.9,332,240,117,113,71,31,217,194,96.7,346,76,123,122.5,86.1,127.9,90,161,65,70.5,212,19.2,26.5,58.6,44.1,20.3,22.2,57,38.8,20.2,85.9,14.6,21.8,114.4,107.2,36.3,48.2,19.4,109.1,8.1,5.1,302,376,17,9,9,10,10
WEST.AS.32.1_Lib1_I12_C07,25004,86.8313,25006,0,311,0.012437,21142,20952.6,24400,0.05494,WEST,WEST.AS.32.1,Lib1,I12,C07,144.3288927,27.84586,-95.20403,63-1607-032,631607032,144.3288927,,3.8855,51.824,31.6169,20.4598,2.3515,M,350,293,220,257,141.9,108.3,48.9,68.8,51.5,31.2,19.5,14.4,59.3,78.3,54.5,70.5,44.1,12.1,15.9,5.7,5.8,12.7,3.7,21.1,23.7,5.8,3.7,9.4,21.6,28.3,7.4,34.9,10.5,23.8,28.9,34,154,115.2,59.9,61.3,39,18.4,111.9,92.4,42.1,172,38.3,59.7,60.6,33,60.4,49,75,41,30.3,114.8,7.4,14.3,27.4,18.4,8.8,13.3,25.5,18.3,9.8,40.8,8.1,14,58.8,47.9,17.4,15.9,18.4,41.1,2.6,3.5,157,193,9.1,9,9,9,9
WEST.AS.32.2_Lib1_I12_B12,24990,53.9287,25006,0,402,0.0160761,21169,20875.7,24317,0.08523,WEST,WEST.AS.32.2,Lib1,I12,B12,144.3288927,27.84586,-95.20403,63-1607-032,631607032,144.3288927,,3.8855,51.824,31.6169,20.4598,2.3515,F,314,263,201,234,123.5,98.4,50.7,65.2,48.9,27.3,18.4,11.2,56.1,72.9,50.9,67.1,41.9,10,15.9,4.8,4,12.5,3.9,19.9,21.3,6,3.7,8.4,20.1,24.4,6,33.3,7.7,19.7,23.8,30.6,134.7,95.5,50.5,52.5,31.3,15.6,100.2,85.2,32.9,158,36.4,55.1,58.2,36.5,54.4,47,75.3,32.7,29.7,97,3.9,11.8,26,17.3,7.9,10.7,24.3,17,9.7,37.8,7,12.2,47.6,39.6,15,11.9,13,,,,142.8,170,9.6,9,9,9,9
WEST.AS.34.1_Lib1_I12_B02,24943,34.055,25006,0,828,0.0331121,20741,20515.3,23901,0.06666,WEST,WEST.AS.34.1,Lib1,I12,B02,433.9925235,27.5636,-95.79092,63-1607-034,631607034,433.9925235,,3.5139,40.467,35.4475,11.6712,0.0937,M,754,645,476,555,284,225,108,154,101.1,65.8,45.5,32.2,118.2,165,96,155,81.3,25.9,,12.2,9,32.5,7.2,41,52.7,10.6,7,21.4,47.4,57.3,17.6,65.5,,55.7,59.5,66.3,357,252,130,117,81,37,229,210,95,365,85.7,139,134,99.7,123.2,94.2,172,60.9,81.5,210,17.8,28.9,71.7,46.4,24.9,26.7,66.1,40.4,27.7,97.5,17.2,28,110.1,100.9,,43.4,29.4,93.9,13.5,7,331,410,21.4,10,10,10,10
WEST.AS.34.2_Lib1_I12_D03,24994,51.9868,25006,0,355,0.0141966,21151,20921.8,24359,0.06669,WEST,WEST.AS.34.2,Lib1,I12,D03,433.9925235,27.5636,-95.79092,63-1607-034,631607034,433.9925235,,3.5139,40.467,35.4475,11.6712,0.0937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST.AS.34.3_Lib1_I12_D01,24994,37.3036,25006,0,1125,0.0449892,20364,20296.8,23609,0.02029,WEST,WEST.AS.34.3,Lib1,I12,D01,433.9925235,27.5636,-95.79092,63-1607-034,631607034,433.9925235,,3.5139,40.467,35.4475,11.6712,0.0937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST.AS.35.1_Lib2_I12_B06,24990,69.2133,25006,0,348,0.0139167,21273,20915.6,24354,0.10394,WEST,WEST.AS.35.1,Lib2,I12,B06,165.7624309,27.54589,-96.02138,63-1607-035,631607035,165.7624309,,3.887,52.082,36.4783,19.0273,0.1471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST.AS.35.2_Lib2_I12_B01,24983,28.3892,25006,0,848,0.0339119,20879,20510.2,23876,0.10958,WEST,WEST.AS.35.2,Lib2,I12,B01,165.7624309,27.54589,-96.02138,63-1607-035,631607035,165.7624309,,3.887,52.082,36.4783,19.0273,0.1471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST.AS.36.1_Lib2_I12_A07,25003,93.3977,25006,0,413,0.016516,21088,20866.2,24297,0.06464,WEST,WEST.AS.36.1,Lib2,I12,A07,190.6889699,26.90493,-96.45842,63-1607-036,631607036,190.6889699,,3.3632,43.761,35.5959,17.7533,2.419,F,895,755,570,660,340,275,149,176,133.8,75.2,45.6,33,146,196,116.5,171,103.3,42.9,42.2,13,11.3,34.2,8.1,59,71.6,12.7,7.1,21.7,53.8,65.6,18.1,91.2,16.4,61.9,65.3,72.7,399,285,154,183,120,50,293,267,122.8,428,116,168,142.7,106.8,164,124,223,100,109.4,317,6.8,34.2,76.3,59.4,26.3,33.2,72.8,53,25.6,111.5,19.4,33.5,141,125,42.7,49.2,36.4,,,,395,503,30.4,9,9,10,10
WEST.AS.36.2_Lib2_I12_C09,25000,49.2439,25006,0,593,0.0237143,21077,20720.7,24129,0.10455,WEST,WEST.AS.36.2,Lib2,I12,C09,190.6889699,26.90493,-96.45842,63-1607-036,631607036,190.6889699,,3.3632,43.761,35.5959,17.7533,2.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST.AS.36.3_Lib1_I12_B05,24584,11.2937,25006,0,4931,0.197193,17347,17024.4,19856,0.11394,WEST,WEST.AS.36.3,Lib1,I12,B05,190.6889699,26.90493,-96.45842,63-1607-036,631607036,190.6889699,,3.3632,43.761,35.5959,17.7533,2.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST.AS.36.4_Lib1_I12_D06,24979,71.8306,25006,0,269,0.0107574,21121,20985.2,24443,0.03927,WEST,WEST.AS.36.4,Lib1,I12,D06,190.6889699,26.90493,-96.45842,63-1607-036,631607036,190.6889699,,3.3632,43.761,35.5959,17.7533,2.419,F,941,805,616,708,371,293,158,190,131.3,81.1,52.2,35.9,142.2,214,131.5,191,104.7,24.7,43.2,11.7,13.7,36.2,8.8,48,75,13.7,8.8,22.5,53.1,68,21,87.1,8.5,63.9,65.8,88,447,321,169,189,118,48,317,270,128.2,489,118,171,162,119,171,133,239,104,113,334,15.7,34.8,82.2,60.2,25.7,35.1,77.3,55,27.9,116.5,21.5,38.9,152.8,137.3,51.9,65.7,29.9,,,,434,518,31.6,10,10,10,10
WEST.AS.36.5_Lib1_I12_C08,24894,30.9098,25006,0,1091,0.0436295,20743,20305.3,23643,0.13115,WEST,WEST.AS.36.5,Lib1,I12,C08,190.6889699,26.90493,-96.45842,63-1607-036,631607036,190.6889699,,3.3632,43.761,35.5959,17.7533,2.419,F,960,818,615,714,374,280,139,174,126.5,79.9,48.8,35.9,154,215,129,187,110.2,26.5,44.5,12,16.5,34.8,10.1,56,73.6,11.4,6.7,27.3,55,65.5,19.7,94.4,18.2,65.5,71.6,97.7,447,326,155,172,110,48,321,278,152,517,119,193,161,135,162,138,241,114,129,326,3.5,37.3,89.7,68.5,31.7,35.4,86.3,61.3,30.3,122.1,21.3,36.2,146,136.1,51.1,60.7,42.3,,,,442,533,25.5,9,9,9,9
WEST.AS.37.1_Lib2_I12_C04,24996,37.145,25006,0,669,0.0267536,20910,20652.6,24041,0.07597,WEST,WEST.AS.37.1,Lib2,I12,C04,218.9988,26.75139,-96.43665,63-1607-037,631607037,218.9988,,3.8279,50.301,36.3885,18.0133,0.0968,F,757,645,484,567,277,222,118,148,110.2,64,39,29.2,124.9,177,109.2,150.9,79.5,14,34.5,12.8,8.5,26,6.4,38,51.7,11,8,19.2,44.2,56.9,,70.5,,57.8,57,62.6,374,265,122,137,96,40,248,218,109,419,84,140,137,91,164,116,191,85,80,268,8.3,28.8,64.5,47,21.9,23.5,61.3,48.2,22.5,95.6,17,31.5,125,121.5,37.2,43.8,39.9,,,,343,410,19.3,9,9,9,9
WEST.AS.37.2_Lib2_I12_C03,24963,14.3754,25006,0,2098,0.0838999,19633,19414.3,22624,0.06814,WEST,WEST.AS.37.2,Lib2,I12,C03,218.9988,26.75139,-96.43665,63-1607-037,631607037,218.9988,,3.8279,50.301,36.3885,18.0133,0.0968,M,940,818,617,716,367,275,153,176,136.9,85.4,54.4,33.8,173,204,127,194,98,25,40.2,17.9,,29.4,,50,70.1,18.2,9.1,27.4,56.5,70.2,18.4,91.4,21.9,65.2,71,99.1,461,340,146,155,115,48,295,260,126,501,113,193,169,95.2,170,133,244,88,116,305,20.5,37.6,97.7,73.7,28,35.9,91.7,62.5,31.8,122.1,19.7,37.5,152.8,145.3,48.7,,,198,54.9,15.3,419,512,26.5,10,10,10,10
WEST.AS.37.3_Lib2_I12_C08,24993,17.8197,25006,0,1284,0.0513477,20483,20128.5,23438,0.10712,WEST,WEST.AS.37.3,Lib2,I12,C08,218.9988,26.75139,-96.43665,63-1607-037,631607037,218.9988,,3.8279,50.301,36.3885,18.0133,0.0968,F,970,825,613,715,391,285,152,177,142,80.2,48.5,31.5,155,204,119,178,107.6,26.1,45.4,17,15,34.5,9.1,53,68.1,13.6,10.1,30.3,54.3,73.9,16.2,93.3,14.9,68.9,79.6,109.1,452,312,160,182,134,55,316,278,120,483,119,160,157,119,192,157,248,118,105,343,,38,84.2,63.9,25.4,34.2,83,61.7,26.9,121.6,,,151.4,145.5,43.4,54.2,51.6,,,,439,489,36.7,9,9,10,10
